Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
Aakhree Raasta,1986,164,"Action, Crime, Drama",7.1,1283,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada,https://www.imdb.com/find?q=Aakhree%20Raasta
Aakhri Adaalat,1988,148,"Action, Thriller",5.2,78,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff,https://www.imdb.com/find?q=Aakhri%20Adaalat
Aakhri Baazi,1989,149,"Action, Drama, Family",4.1,53,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda,https://www.imdb.com/find?q=Aakhri%20Baazi
Aakhri Badla,1989,120,"Action, Crime, Drama",5.0,21,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya,https://www.imdb.com/find?q=Aakhri%20Badla
Aakhri Ghulam,1989,171,"Action, Crime, Drama",4.9,34,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher,https://www.imdb.com/find?q=Aakhri%20Ghulam
Aakhri Kasam,1979,126,"Action, Thriller",6.3,7,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali,https://www.imdb.com/find?q=Aakhri%20Kasam
Aakhri Khat,1966,153,Drama,6.9,122,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty,https://www.imdb.com/find?q=Aakhri%20Khat
Aakhri Sangam,1990,160,"Action, Romance",7.3,39,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian,https://www.imdb.com/find?q=Aakhri%20Sangam
Aakhri Sanghursh,1997,138,Action,2.8,17,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna,https://www.imdb.com/find?q=Aakhri%20Sanghursh
Aakraman,1975,139,"Drama, History, Romance",6.3,44,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan,https://www.imdb.com/find?q=Aakraman
Aakrosh,1980,144,"Crime, Drama, Music",7.9,887,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri,https://www.imdb.com/find?q=Aakrosh
Aakrosh,2010,115,"Action, Crime, Thriller",7.0,3464,Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu,https://www.imdb.com/find?q=Aakrosh
Aalaap,2012,116,Sci-Fi,5.4,26,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit,https://www.imdb.com/find?q=Aalaap
Aalavandhan,2001,177,"Action, Thriller",7.2,2192,Suresh Krishna,Kamal Haasan,Raveena Tandon,Manisha Koirala,https://www.imdb.com/find?q=Aalavandhan
Aalwar,2007,152,Action,3.0,922,Chella,Ajith Kumar,Asin Thottumkal,Vivek,https://www.imdb.com/find?q=Aalwar
Aamaar Bhuvan,2018,107,"Drama, Family",7.7,72,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen,https://www.imdb.com/find?q=Aamaar%20Bhuvan
Aamdani Atthanni Kharcha Rupaiya,2001,150,"Comedy, Drama, Family",4.8,1238,K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla,https://www.imdb.com/find?q=Aamdani%20Atthanni%20Kharcha%20Rupaiya
Aamir,2008,99,"Action, Crime, Drama",7.7,10862,Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala,https://www.imdb.com/find?q=Aamir
Aamne - Saamne,1967,163,"Crime, Mystery, Romance",6.5,81,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra,https://www.imdb.com/find?q=Aamne%20-%20Saamne
Aamne Samne,1982,143,"Action, Crime, Drama",6.4,53,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta,https://www.imdb.com/find?q=Aamne%20Samne
Aan Aur Shaan,1984,130,Drama,6.4,37,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor,https://www.imdb.com/find?q=Aan%20Aur%20Shaan
Aan Milo Sajna,1970,177,"Drama, Musical, Romance",6.4,211,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna,https://www.imdb.com/find?q=Aan%20Milo%20Sajna
Aan: Men at Work,2004,149,"Action, Crime, Drama",5.7,2907,Madhur Bhandarkar,Akshay Kumar,Shatrughan Sinha,Sunil Shetty,https://www.imdb.com/find?q=Aan:%20Men%20at%20Work
Aanch,2003,160,Drama,5.6,102,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer,https://www.imdb.com/find?q=Aanch
Aanchal,1980,138,"Action, Drama, Family",6.4,58,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha,https://www.imdb.com/find?q=Aanchal
Aandhi,1975,133,"Drama, Romance",8.1,1406,Gulzar,Suchitra Sen,Sanjeev Kumar,Om Shivpuri,https://www.imdb.com/find?q=Aandhi
Aandhi-Toofan,1985,144,Drama,6.1,49,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa,https://www.imdb.com/find?q=Aandhi-Toofan
Aandhiyan,1952,136,Drama,7.4,30,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik,https://www.imdb.com/find?q=Aandhiyan
Aandhiyan,1990,145,Drama,4.8,38,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree,https://www.imdb.com/find?q=Aandhiyan
Aani Maani,2019,94,Drama,6.6,15,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh,https://www.imdb.com/find?q=Aani%20Maani
Aankhen,1993,170,"Action, Comedy, Crime",6.7,1898,David Dhawan,Govinda,Chunky Panday,Raj Babbar,https://www.imdb.com/find?q=Aankhen
Aankhen,2002,165,"Crime, Drama, Thriller",7.4,12574,Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen,https://www.imdb.com/find?q=Aankhen
Aankhon Aankhon Mein,1972,154,"Drama, Romance",6.4,28,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev,https://www.imdb.com/find?q=Aankhon%20Aankhon%20Mein
Aansoo Aur Muskan,1970,150,"Comedy, Drama, Family",6.5,24,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep,https://www.imdb.com/find?q=Aansoo%20Aur%20Muskan
Aao Pyaar Karen,1994,141,Romance,4.2,160,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali,https://www.imdb.com/find?q=Aao%20Pyaar%20Karen
Aao Wish Karein,2009,140,"Comedy, Family, Fantasy",5.1,584,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri,https://www.imdb.com/find?q=Aao%20Wish%20Karein
Aap Aye Bahaar Ayee,1971,119,"Comedy, Drama, Romance",6.6,80,Mohan Kumar,Rajendra Kumar,Sadhana,Prem Chopra,https://www.imdb.com/find?q=Aap%20Aye%20Bahaar%20Ayee
Aap Beati,1976,145,"Drama, Family",5.7,32,Mohan Kumar,Shashi Kapoor,Hema Malini,Ashok Kumar,https://www.imdb.com/find?q=Aap%20Beati
Aap Ki Kasam,1974,153,"Romance, Drama",7.0,420,J. Om Prakash,Rajesh Khanna,Mumtaz,Sanjeev Kumar,https://www.imdb.com/find?q=Aap%20Ki%20Kasam
Aap Ki Khatir,1977,115,"Action, Comedy, Drama",6.3,27,Sudhendu Roy,Vinod Khanna,Rekha,Nadira,https://www.imdb.com/find?q=Aap%20Ki%20Khatir
Aap Ki Khatir,2006,122,"Comedy, Romance",3.6,863,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel,https://www.imdb.com/find?q=Aap%20Ki%20Khatir
Aap Ki Parchhaiyan,1964,128,"Drama, Family, Romance",6.3,39,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi,https://www.imdb.com/find?q=Aap%20Ki%20Parchhaiyan
Aap Mujhe Achche Lagne Lage,2002,180,"Action, Drama, Romance",3.1,2366,Vikram Bhatt,Hrithik Roshan,Ameesha Patel,Kiran Kumar,https://www.imdb.com/find?q=Aap%20Mujhe%20Achche%20Lagne%20Lage
Aap To Aise Na The,1980,145,"Romance, Drama, Family",5.6,38,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur,Deepak Parashar,https://www.imdb.com/find?q=Aap%20To%20Aise%20Na%20The
Aapas Ki Baat,1981,148,"Action, Romance",5.2,17,Harmesh Malhotra,Poonam Dhillon,Raj Babbar,Shakti Kapoor,https://www.imdb.com/find?q=Aapas%20Ki%20Baat
Aapko Pehle Bhi Kahin Dekha Hai,2003,145,"Action, Comedy, Drama",4.5,273,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal,https://www.imdb.com/find?q=Aapko%20Pehle%20Bhi%20Kahin%20Dekha%20Hai
Aar Paar,1985,125,Action,6.1,44,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt,https://www.imdb.com/find?q=Aar%20Paar
Aar Ya Paar,1997,180,Thriller,6.1,230,Ketan Mehta,Jackie Shroff,Deepa Sahi,Ritu Shivpuri,https://www.imdb.com/find?q=Aar%20Ya%20Paar
Aarakshan,2011,164,"Drama, Thriller",6.2,5170,Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee,https://www.imdb.com/find?q=Aarakshan
Aarop,1974,129,Drama,6.7,13,Atma Ram,Vinod Khanna,Saira Banu,Vinod Mehra,https://www.imdb.com/find?q=Aarop
Aar-Paar,1954,146,"Musical, Romance, Thriller",6.6,250,Guru Dutt,Shyama,Guru Dutt,Jagdish Sethi,https://www.imdb.com/find?q=Aar-Paar
Aarti,1962,156,"Family, Musical, Romance",6.6,67,Phani Majumdar,Ashok Kumar,Meena Kumari,Pradeep Kumar,https://www.imdb.com/find?q=Aarti
Aarya,2007,157,"Action, Drama, Romance",4.6,191,Balasekaran,Bhavana,Madhavan,Prakash Raj,https://www.imdb.com/find?q=Aarya
Aarzoo,1999,175,"Drama, Romance",5.4,1445,Lawrence D'Souza,Madhuri Dixit,Akshay Kumar,Saif Ali Khan,https://www.imdb.com/find?q=Aarzoo
Aasha,1957,171,"Comedy, Romance",6.5,23,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran,https://www.imdb.com/find?q=Aasha
Aasha,1980,123,"Drama, Musical, Romance",5.3,199,J. Om Prakash,Jeetendra,Reena Roy,Rameshwari,https://www.imdb.com/find?q=Aasha
Aashayein,2010,120,Drama,7.1,1259,Nagesh Kukunoor,John Abraham,Anaitha Nair,Girish Karnad,https://www.imdb.com/find?q=Aashayein
Aashiq,1962,150,Romance,6.7,64,Hrishikesh Mukherjee,Raj Kapoor,Padmini,Nanda,https://www.imdb.com/find?q=Aashiq
Aashiq,2001,160,"Action, Drama, Romance",3.8,403,Indra Kumar,Bobby Deol,Karisma Kapoor,Rahul Dev,https://www.imdb.com/find?q=Aashiq
Aashiq Banaya Aapne: Love Takes Over,2005,115,"Drama, Romance, Thriller",4.3,1569,Aditya Datt,Emraan Hashmi,Tanushree Dutta,Sonu Sood,https://www.imdb.com/find?q=Aashiq%20Banaya%20Aapne:%20Love%20Takes%20Over
Aashiq Hoon Baharon Ka,1977,136,Romance,5.5,85,J. Om Prakash,Rajesh Khanna,Zeenat Aman,Danny Denzongpa,https://www.imdb.com/find?q=Aashiq%20Hoon%20Baharon%20Ka
Aashiqui,1990,152,"Musical, Drama, Romance",6.3,1661,Mahesh Bhatt,Rahul Roy,Anu Agrawal,Avtar Gill,https://www.imdb.com/find?q=Aashiqui
Aashiqui 2,2013,132,"Drama, Music, Musical",7.0,27357,Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa,https://www.imdb.com/find?q=Aashiqui%202
Aashiqui.In,2011,109,"Drama, Romance",3.7,61,Shankhadeep,Shubhi Ahuja,Amit Dhamija,Preeti Gandwani,https://www.imdb.com/find?q=Aashiqui.In
Aashirwad,1968,146,Drama,7.3,203,Hrishikesh Mukherjee,Ashok Kumar,Sanjeev Kumar,Sumita Sanyal,https://www.imdb.com/find?q=Aashirwad
Aashmani Jawaharat,2014,132,Drama,6.1,10,Sriparna Dey,Anamitra Roy,Anamitra Roy,Yovik,https://www.imdb.com/find?q=Aashmani%20Jawaharat
Aasma,2018,105,"Action, Crime, Drama",5.2,8,Sudipto Sen,Subrat Dutta,Ameet Gaurr,Sunny Hinduja,https://www.imdb.com/find?q=Aasma
Aasma: The Sky Is the Limit,2009,240,Drama,3.8,46,Rohit Krishnakant Nayyar,Hrishitaa Bhatt,Seema Biswas,Nauheed Cyrusi,https://www.imdb.com/find?q=Aasma:%20The%20Sky%20Is%20the%20Limit
Aasmaan,1984,145,"Drama, Mystery",4.8,12,Tony Juneja,Rajiv Kapoor,Divya Rana,Tina Ambani,https://www.imdb.com/find?q=Aasmaan
Aasmaan Mahal,1965,172,Drama,5.5,6,Khwaja Ahmad Abbas,Prithviraj Kapoor,Dilip Roy,Surekha,https://www.imdb.com/find?q=Aasmaan%20Mahal
Aasmaan Se Gira,1992,88,"Adventure, Comedy, Romance",6.8,56,Pankaj Parashar,Abhishek Chitlangia,Raghuvir Yadav,Anupam Kher,https://www.imdb.com/find?q=Aasmaan%20Se%20Gira
Aasoo Bane Angaarey,1993,150,Action,4.5,88,Mehul Kumar,Jeetendra,Madhuri Dixit,Kiran Kumar,https://www.imdb.com/find?q=Aasoo%20Bane%20Angaarey
Aasra,1966,161,"Drama, Family",7.2,32,Satyen Bose,Mala Sinha,Biswajit Chatterjee,Balraj Sahni,https://www.imdb.com/find?q=Aasra
Aastha: In the Prison of Spring,1997,132,Drama,6.4,172,Basu Bhattacharya,Rekha,Om Puri,Dinesh Thakur,https://www.imdb.com/find?q=Aastha:%20In%20the%20Prison%20of%20Spring
Aatank,1996,113,"Action, Thriller",3.9,99,Prem Lalwani,Desh Mukherjee,Nafisa Ali,Dharmendra,https://www.imdb.com/find?q=Aatank
Aatank Hi Aatank,1995,155,"Action, Crime, Drama",5.2,776,Dilip Shankar,Rajinikanth,Aamir Khan,Juhi Chawla,https://www.imdb.com/find?q=Aatank%20Hi%20Aatank
Aathi,2006,167,"Action, Drama, Thriller",4.4,2166,Ramana,Joseph Vijay,Trisha Krishnan,Vivek,https://www.imdb.com/find?q=Aathi
Aatish,1979,139,Action,4.5,16,Ambrish Sangal,Jeetendra,Neetu Singh,Dheeraj Kumar,https://www.imdb.com/find?q=Aatish
Aatish: Feel the Fire,1994,155,"Action, Crime, Drama",5.8,735,Sanjay Gupta,Sanjay Dutt,Aditya Pancholi,Raveena Tandon,https://www.imdb.com/find?q=Aatish:%20Feel%20the%20Fire
Aatma,2006,107,"Crime, Drama, Horror",4.2,79,Deepak Ramsay,Kapil Jhaveri,Shabana Raza,Vikram Singh,https://www.imdb.com/find?q=Aatma
Aatma,2013,100,"Drama, Horror, Thriller",3.8,623,Suparn Varma,Jaideep Ahlawat,Bipasha Basu,Padam Bhola,https://www.imdb.com/find?q=Aatma
Aavida Maa Aavide,1998,153,"Comedy, Romance",6.4,170,E.V.V. Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal,https://www.imdb.com/find?q=Aavida%20Maa%20Aavide
Aavishkar,1974,107,"Drama, Romance",7.0,213,Basu Bhattacharya,Rajesh Khanna,Sharmila Tagore,Dina Pathak,https://www.imdb.com/find?q=Aavishkar
Aawaz,1956,146,Romance,5.1,7,Zia Sarhadi,Nalini Jaywant,Nasir Hussain,Usha Kiran,https://www.imdb.com/find?q=Aawaz
Aaya Toofan,1964,128,"Action, Adventure, Fantasy",6.1,14,Mohammed Hussain,Kedar Kapoor,Dara Singh,Helen,https://www.imdb.com/find?q=Aaya%20Toofan
Aaya Toofan,1999,111,Action,5.4,31,Deepak Balraj Vij,Mithun Chakraborty,Aditya Pancholi,Gulshan Grover,https://www.imdb.com/find?q=Aaya%20Toofan
Aaye Din Bahar Ke,1966,170,"Musical, Romance",6.6,109,Raghunath Jhalani,Asha Parekh,Dharmendra,Balraj Sahni,https://www.imdb.com/find?q=Aaye%20Din%20Bahar%20Ke
Aazaan,2011,125,"Action, Musical, Thriller",4.4,346,Prashant Chadha,Sachiin Joshi,Candice Boucher,Arya Babbar,https://www.imdb.com/find?q=Aazaan
Aazmayish,1995,147,"Action, Drama, Romance",5.0,35,Sachin Pilgaonkar,Sachin,Rohit Kumar Sharma,Dharmendra,https://www.imdb.com/find?q=Aazmayish
Ab Ayega Mazaa,1984,128,Comedy,6.6,85,Pankaj Parashar,Ravi Baswani,Raja Bundela,Pawan Malhotra,https://www.imdb.com/find?q=Ab%20Ayega%20Mazaa
Ab Dilli Dur Nahin,1957,133,Drama,7.6,80,Amar Kumar,Master Romi,Sulochana Latkar,Lala Yaqoob,https://www.imdb.com/find?q=Ab%20Dilli%20Dur%20Nahin
Ab Hoga Dharna Unlimited,2012,78,Comedy,4.0,6,Deepak Tanwar,Saurabh Malik,Rekha Rana,Omkar Das Manikpuri,https://www.imdb.com/find?q=Ab%20Hoga%20Dharna%20Unlimited
Ab Insaf Hoga,1995,125,"Action, Drama",4.8,32,Harish Shah,Rekha,Mithun Chakraborty,Deepika Amin,https://www.imdb.com/find?q=Ab%20Insaf%20Hoga
Ab Tak Chhappan,2004,129,"Action, Crime, Drama",7.8,8379,Shimit Amin,Nana Patekar,Revathi,Yashpal Sharma,https://www.imdb.com/find?q=Ab%20Tak%20Chhappan
Ab Tak Chhappan 2,2015,106,"Action, Crime, Thriller",5.8,1344,Ejaz Gulab,Nana Patekar,Mohan Agashe,Gul Panag,https://www.imdb.com/find?q=Ab%20Tak%20Chhappan%202
Ab To Aaja Saajan Mere,1994,127,"Drama, Romance",4.0,6,Rakesh Nahata,Keshto Iqbal,Arvind Joshi,Shalini Kapoor,https://www.imdb.com/find?q=Ab%20To%20Aaja%20Saajan%20Mere
Ab Tumhare Hawale Watan Saathiyo,2004,193,"Action, Drama, War",4.6,1494,Anil Sharma,Sanjay Sharma,Amitabh Bachchan,Akshay Kumar,https://www.imdb.com/find?q=Ab%20Tumhare%20Hawale%20Watan%20Saathiyo
Ab... Bas!,2004,137,"Romance, Thriller",3.2,74,Rajesh Kumar Singh,Chetanya Adeep,Shawar Ali,Arun Bakshi,https://www.imdb.com/find?q=Ab...%20Bas!
ABCD (Any Body Can Dance),2013,160,"Drama, Music",6.3,6458,Remo D'Souza,Prabhu Deva,Ganesh Acharya,Kay Kay Menon,https://www.imdb.com/find?q=ABCD%20(Any%20Body%20Can%20Dance)
Abdullah,1980,136,"Action, Drama, Romance",6.4,189,Sanjay Khan,Raj Kapoor,Sanjay Khan,Sanjeev Kumar,https://www.imdb.com/find?q=Abdullah
Abe Hayat,1955,140,"Action, Adventure, Fantasy",4.8,21,Ramanlal Desai,Prem Nath,Ameeta,Shashikala,https://www.imdb.com/find?q=Abe%20Hayat
Abhay,1995,127,Fantasy,7.0,64,Annu Kapoor,Ankit Desai,Benjamin Gilani,Eka Lakhani,https://www.imdb.com/find?q=Abhay
Abhi To Jee Lein,1977,135,"Action, Drama, Thriller",5.4,10,Roshan Taneja,Jaya Bachchan,Danny Denzongpa,Simi Garewal,https://www.imdb.com/find?q=Abhi%20To%20Jee%20Lein
Abhilasha,1968,141,"Drama, Romance",6.8,24,Amit Bose,Meena Kumari,Nanda,Sanjay Khan,https://www.imdb.com/find?q=Abhilasha
Abhimaan,1973,122,"Drama, Musical",7.9,2665,Hrishikesh Mukherjee,Amitabh Bachchan,Jaya Bachchan,Asrani,https://www.imdb.com/find?q=Abhimaan
Abhimanyu,1991,140,"Crime, Drama, Musical",7.0,326,Priyadarshan,Mohanlal,Shankar,Ajayan Adoor,https://www.imdb.com/find?q=Abhimanyu
Abhimanyu,1989,168,"Action, Comedy, Drama",4.6,28,Tony Juneja,Anil Kapoor,Kimi Katkar,Poonam Dhillon,https://www.imdb.com/find?q=Abhimanyu
Abhinetri,1970,154,"Drama, Romance",6.7,70,Subodh Mukherji,Shashi Kapoor,Hema Malini,Deb Mukherjee,https://www.imdb.com/find?q=Abhinetri
Abodh,1984,132,Drama,5.8,109,Hiren Nag,Tapas Pal,Madhuri Dixit,Sheela Sharma,https://www.imdb.com/find?q=Abodh
Accident on Hill Road,2010,105,"Crime, Drama, Thriller",4.0,284,Mahesh Nair,Farooq Shaikh,Celina Jaitly,Abhimanyu Singh,https://www.imdb.com/find?q=Accident%20on%20Hill%20Road
Achanak,1973,96,"Crime, Drama",6.8,213,Gulzar,Vinod Khanna,Om Shivpuri,Lily Chakravarty,https://www.imdb.com/find?q=Achanak
Achanak,1998,160,"Action, Mystery, Thriller",4.0,245,Naresh Malhotra,Govinda,Manisha Koirala,Farha Naaz,https://www.imdb.com/find?q=Achanak
Achhut Kanya,1936,142,"Drama, Musical, Romance",6.5,114,Franz Osten,Devika Rani,Ashok Kumar,Monorama,https://www.imdb.com/find?q=Achhut%20Kanya
Acid Factory,2009,108,"Action, Crime, Mystery",5.0,677,Suparn Varma,Fardeen Khan,Dia Mirza,Manoj Bajpayee,https://www.imdb.com/find?q=Acid%20Factory
Action,2019,158,"Action, Adventure, Thriller",4.5,858,Sundar C.,Vishal,Tamannaah Bhatia,Aishwarya Lekshmi,https://www.imdb.com/find?q=Action
Action Jackson,2014,144,"Action, Crime, Thriller",3.3,3461,Prabhu Deva,Prabhas,Ajay Devgn,Sonakshi Sinha,https://www.imdb.com/find?q=Action%20Jackson
Action Replayy,2010,129,"Comedy, Romance, Sci-Fi",4.2,5814,Vipul Amrutlal Shah,Akshay Kumar,Aishwarya Rai Bachchan,Aditya Roy Kapoor,https://www.imdb.com/find?q=Action%20Replayy
Ada... A Way of Life,2010,120,"Action, Crime, Drama",3.6,49,Tanvir Ahmad,Ayaan Ahmad,Ayesha Jhulka,Rahul Roy,https://www.imdb.com/find?q=Ada...%20A%20Way%20of%20Life
Adalat,1958,139,"Drama, Musical, Romance",6.9,36,Kalidas,Nargis,Pradeep Kumar,Pran,https://www.imdb.com/find?q=Adalat
Adalat,1976,138,"Action, Drama, Family",6.4,284,Narendra Bedi,Amitabh Bachchan,Waheeda Rehman,Neetu Singh,https://www.imdb.com/find?q=Adalat
Adhi Raat Ke Baad,1965,137,"Action, Drama, Mystery",6.6,28,Nanabhai Bhatt,Ashok Kumar,Ragini,Sailesh Kumar,https://www.imdb.com/find?q=Adhi%20Raat%20Ke%20Baad
Adhikar,1954,126,"Comedy, Drama, Romance",6.7,13,Mohan Segal,Usha Kiran,Kishore Kumar,Yashodra Katju,https://www.imdb.com/find?q=Adhikar
Adhipathi,2001,151,"Action, Drama",5.4,533,Ravi Raja,Nagarjuna Akkineni,Ali,Mohan Babu,https://www.imdb.com/find?q=Adhipathi
Adhura Sapna,2007,88,Drama,4.7,11,Vimal Reddy,Tania Nazmeen Dean,Rajnel Prasad,Ratu Rakuita Tawake,https://www.imdb.com/find?q=Adhura%20Sapna
Adhurs,2010,150,"Action, Comedy, Thriller",6.8,2393,V.V. Vinayak,N.T. Rama Rao Jr.,Nayanthara,Sheela Kaur,https://www.imdb.com/find?q=Adhurs
Adi Shankaracharya,1983,130,"Biography, Drama",7.3,240,G.V. Iyer,Sarvadaman Banerjee,M.V. Narayana Rao,Manjunath Bhatt,https://www.imdb.com/find?q=Adi%20Shankaracharya
Adil-E-Jahangir,1955,150,Drama,5.0,8,G.P. Sippy,Pradeep Kumar,Meena Kumari,D.K. Sapru,https://www.imdb.com/find?q=Adil-E-Jahangir
Adisaya Piravi,1990,145,"Action, Comedy, Fantasy",6.9,335,S.P. Muthuraman,Rajinikanth,Chinnijayanth,Jai Ganesh,https://www.imdb.com/find?q=Adisaya%20Piravi
Adrishya,2017,106,"Drama, Family, Horror",3.3,102,Sandeep Chatterjee,Nishat Mallick,Archana Kotwal,Ravi Kumar,https://www.imdb.com/find?q=Adrishya
Adutha Varisu,1983,122,Drama,5.5,76,S.P. Muthuraman,Rajinikanth,Sridevi,Varalakshmi S.,https://www.imdb.com/find?q=Adutha%20Varisu
Adventure Kids Hindi Film,2019,120,Adventure,6.6,12,Manoj Palrecha,Suvahhdan Angre,Neel Bakshi,Prachita Gujar,https://www.imdb.com/find?q=Adventure%20Kids%20Hindi%20Film
Adventures of Aladdin,1978,151,Adventure,4.7,7,Homi Wadia,Nazneen,Jayshree T.,Raza Murad,https://www.imdb.com/find?q=Adventures%20of%20Aladdin
Adventures of Ali-Baba and the Forty Thieves,1980,153,"Action, Adventure, Family",6.2,506,Latif Faiziyev,Umesh Mehra,Dharmendra,Hema Malini,https://www.imdb.com/find?q=Adventures%20of%20Ali-Baba%20and%20the%20Forty%20Thieves
Adventures of Tarzan,1985,135,"Action, Adventure, Comedy",4.6,140,Babbar Subhash,Kimi Katkar,Dalip Tahil,Om Shivpuri,https://www.imdb.com/find?q=Adventures%20of%20Tarzan
Ae Dil Hai Mushkil,2016,158,"Drama, Music, Musical",5.8,21661,Karan Johar,Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma,https://www.imdb.com/find?q=Ae%20Dil%20Hai%20Mushkil
Aetbaar,2004,152,"Action, Drama, Musical",4.6,1013,Vikram Bhatt,Amitabh Bachchan,John Abraham,Bipasha Basu,https://www.imdb.com/find?q=Aetbaar
Aflatoon,1997,153,"Action, Comedy, Crime",4.5,1261,Guddu Dhanoa,Akshay Kumar,Urmila Matondkar,Anupam Kher,https://www.imdb.com/find?q=Aflatoon
Africadalli Sheela,1986,134,"Adventure, Thriller",6.6,18,Deepak Balraj Vij,Anand Balraj,Sahila Chaddha,B.S. Dwarakish,https://www.imdb.com/find?q=Africadalli%20Sheela
Afsana,1966,134,"Drama, Romance",6.5,12,Brij,Ashok Kumar,Pradeep Kumar,Padmini,https://www.imdb.com/find?q=Afsana
Afsana,1951,168,"Drama, Family",7.8,57,B.R. Chopra,Ashok Kumar,Veena,Jeevan,https://www.imdb.com/find?q=Afsana
Afsana Dilwalon Ka,2001,195,"Drama, Romance",3.6,1025,J. Om Prakash,Aashish Kaul,Juni,Rahul Roy,https://www.imdb.com/find?q=Afsana%20Dilwalon%20Ka
Afsana Pyar Ka,1991,145,"Drama, Romance",5.9,783,M.R. Shahjahan,Aamir Khan,Neelam Kothari,Deepak Tijori,https://www.imdb.com/find?q=Afsana%20Pyar%20Ka
Afsar,1950,121,"Comedy, Romance",7.1,19,Chetan Anand,Dev Anand,Suraiya,Ruma Guha Thakurta,https://www.imdb.com/find?q=Afsar
After the Third Bell,2014,92,"Crime, Mystery",6.3,43,Ajay Govind,Udayan Banerjee,Akanksha D. Sharma,Sukhesh Arora,https://www.imdb.com/find?q=After%20the%20Third%20Bell
Agar Tum Na Hote,1983,161,"Drama, Family",6.4,152,Lekh Tandon,Rajesh Khanna,Rekha,Raj Babbar,https://www.imdb.com/find?q=Agar%20Tum%20Na%20Hote
Agathiyar,1972,153,"Adventure, Comedy, Drama",6.6,30,A.P. Subbaraav,T.S. Balaiah,J.P. Chandrababu,Devagi,https://www.imdb.com/find?q=Agathiyar
Agent Vinod,1977,139,"Action, Crime, Drama",5.7,84,Deepak Bahry,Mahendra Sandhu,Asha Sachdev,Iftekhar,https://www.imdb.com/find?q=Agent%20Vinod
Agent Vinod,2012,157,"Action, Adventure, Thriller",5.2,7210,Sriram Raghavan,Kareena Kapoor,Saif Ali Khan,Rajat Kapoor,https://www.imdb.com/find?q=Agent%20Vinod
Aghaat,1985,138,"Drama, Crime",7.1,120,Govind Nihalani,Om Puri,Bharat Gopy,Pankaj Kapur,https://www.imdb.com/find?q=Aghaat
Agnee,1988,153,"Action, Drama, Romance",5.1,29,J. Om Prakash,Mithun Chakraborty,Chunky Panday,Amrita Singh,https://www.imdb.com/find?q=Agnee
Agnee Morcha,1997,142,Action,3.1,14,Raju Chouhan,Aparajita,Birbal,Dharmendra,https://www.imdb.com/find?q=Agnee%20Morcha
